"","Species","Genus","Family","meanWD","WD_level","IUCN"
"212","Donella_ubangiensis","Donella","Sapotaceae",0.595714885285868,"dataset",NA
"213","Chytranthus_atroviolaceus","Chytranthus","Sapindaceae",0.595714885285868,"dataset",NA
"214","Chytranthus_setosus","Chytranthus","Sapindaceae",0.595714885285868,"dataset",NA
"215","Chytranthus_talbotii","Chytranthus","Sapindaceae",0.595714885285868,"dataset","LC"
"216","Cola_gabonensis","Cola","Malvaceae",0.612895833333333,"genus",NA
"217","Ficus_mucuso","Ficus","Moraceae",0.405534661835749,"genus","LC"
"218","Ficus_polita","Ficus","Moraceae",0.405534661835749,"genus",NA
"219","Cola_nitida","Cola","Malvaceae",0.612895833333333,"genus","LC"
"220","Cola_rostrata","Cola","Malvaceae",0.612895833333333,"genus",NA
"221","Cryptosepalum_staudtii","Cryptosepalum","Fabaceae",0.75275,"genus","NT"
"222","Pachylobus_klaineanus","Pachylobus","Burseraceae",0.595714885285868,"dataset",NA
"223","Ficus_recurvata","Ficus","Moraceae",0.405534661835749,"genus",NA
"224","Desplatsia_dewevrei","Desplatsia","Malvaceae",0.595714885285868,"dataset","LC"
"225","Desplatsia_subericarpa","Desplatsia","Malvaceae",0.595714885285868,"dataset","LC"
"226","Heisteria_parvifolia","Heisteria","Olacaceae",0.69625,"genus","LC"
"227","Dialium_pachyphyllum","Dialium","Fabaceae",0.812419230769231,"genus","LC"
"228","Irvingia_grandifolia","Irvingia","Irvingiaceae",0.819569444444444,"genus","LC"
"229","Dialium_tessmannii","Dialium","Fabaceae",0.812419230769231,"genus","LC"
"230","Dichapetalum_unguiculatum","Dichapetalum","Dichapetalaceae",0.761,"genus",NA
"231","Dioscoreophyllum_cumminsii","Dioscoreophyllum","Menispermaceae",0.595714885285868,"dataset",NA
"232","Lecaniodiscus_cupanioides","Lecaniodiscus","Sapindaceae",0.595714885285868,"dataset","LC"
"233","Diospyros_crassiflora","Diospyros","Ebenaceae",0.683275126262626,"genus","VU"
"234","Mangifera_indica","Mangifera","Anacardiaceae",0.500529411764706,"genus","DD"
"235","Megaphrynium_gabonense","Megaphrynium","Maranthaceae",0.595714885285868,"dataset",NA
"236","Megaphrynium_macrostachyum","Megaphrynium","Marantaceae",0.595714885285868,"dataset",NA
"237","Diospyros_piscatoria","Diospyros","Ebenaceae",0.683275126262626,"genus","LC"
"238","Monanthotaxis_congoensis","Monanthotaxis","Annonaceae",0.595714885285868,"dataset",NA
"239","Monodora_angolensis","Monodora","Annonaceae",0.49,"genus","LC"
"240","Myrianthus_arboreus","Myrianthus","Urticaceae",0.4495,"genus","LC"
"241","Nauclea_vanderguchtii","Nauclea","Rubiaceae",0.565472551602986,"genus",NA
"242","Parkia_bicolor","Parkia","Fabaceae",0.458531818181818,"genus","LC"
"243","Parkia_filicoidea","Parkia","Fabaceae",0.458531818181818,"genus","LC"
"244","Drypetes_cinnabarina","Drypetes","Putranjivaceae",0.69451282051282,"genus",NA
"245","Drypetes_diopa","Drypetes","Putranjivaceae",0.69451282051282,"genus",NA
"246","Drypetes_gilgiana","Drypetes","Putranjivaceae",0.69451282051282,"genus","LC"
"247","Drypetes_gossweileri","Drypetes","Putranjivaceae",0.69451282051282,"genus",NA
"248","Drypetes_pellegrinii","Drypetes","Putranjivaceae",0.69451282051282,"genus","VU"
"249","Duboscia_viridiflora","Duboscia","Malvaceae",0.595714885285868,"dataset",NA
"250","Erythrophleum_lasianthum","Erythrophleum","Fabaceae",0.808748214285714,"genus","NT"
"251","Fernandoa_adolfi-friderici","Fernandoa","Bignoniaceae",0.505,"genus",NA
"252","Pseudospondias_microcarpa","Pseudospondias","Anacardiaceae",0.595714885285868,"dataset","VU"
"253","Psychotria_vogeliana","Psychotria","Rubiaceae",0.5636,"genus",NA
"254","Rutidea_dupuisii","Rutidea","Rubiaceae",0.595714885285868,"dataset",NA
"255","Scytopetalum_klaineanum","Scytopetalum","Lecythidaceae",0.625,"genus","LC"
"256","Treculia_africana","Treculia","Moraceae",0.595714885285868,"dataset","LC"
"257","Trichoscypha_acuminata","Trichoscypha","Anacardiaceae",0.6022,"genus","LC"
"258","Ganophyllum_giganteum","Ganophyllum","Sapindaceae",0.701833333333333,"genus",NA
"259","Garcinia_kola","Garcinia","Clusiaceae",0.741621568627451,"genus","VU"
"260","Gilbertiodendron_dewevrei","Gilbertiodendron","Fabaceae",0.648444444444444,"genus","LC"
"261","Microcos_coriacea","Microcos","Malvaceae",0.481871794871795,"genus","LC"
"262","Microcos_oligoneura","Microcos","Malvaceae",0.481871794871795,"genus",NA
"263","Microcos_pinnatifida","Microcos","Malvaceae",0.481871794871795,"genus","LC"
"264","Microcos_seretii","Microcos","Malvaceae",0.481871794871795,"genus",NA
"265","Haumania_danckelmaniana","Haumania","Marantaceae",0.595714885285868,"dataset",NA
"266","Haumania_liebrechtsiana","Haumania","Marantaceae",0.595714885285868,"dataset",NA
