"","X","Animal_Species","Animal_Species_Corrected","Animal_Family","Animal_Taxa_Type","Plant_Species","Plant_Species_Corrected","Plant_Family","Plant_Life_Form","Plant_Part_Exploited","Interaction_Type","Data_Collection","Study_Site","Lat","Long","Study_ID","Genus","spp","Interaction","meanWD","sdWD"
"71","Peters_Duiker","Cephalophus callipygus","Cephalophus_callipygus","Bovidae","Ruminant","Antrocaryon klaineanum","Antrocaryon_klaineanum","Anacardiaceae","",NA,"Consumption","Rumen","Makokou","0""34'N","12""52'E","40","Antrocaryon","klaineanum",NA,0.498788888888889,0.0941339098036177
"72","Peters_Duiker","Cephalophus callipygus","Cephalophus_callipygus","Bovidae","Ruminant","Artabotrys le-testui","Artabotrys_le-testui","Annonaceae","",NA,"Consumption","Rumen","Makokou","0""34'N","12""52'E","40","Artabotrys","le-testui",NA,0.565580530764063,0.123401724247162
"73","Peters_Duiker","Cephalophus callipygus","Cephalophus_callipygus","Bovidae","Ruminant","Canarium schweinfurthii","Canarium_schweinfurthii","Burseraceae","","Fruit","Dispersal","Rumen","Makokou","0""34'N","12""552'E","16","Canarium","schweinfurtii","Mutualistic",0.478005621794872,0.0941339098036177
"74","Peters_Duiker","Cephalophus callipygus","Cephalophus_callipygus","Bovidae","Ruminant","Gambeya beguei","Chrysophyllum_beguei","Sapotaceae","","Fruit","Dispersal","Rumen","Makokou","0""34'N","12""552'E","16","Chrysophyllum","beguei","Mutualistic",0.665168724279835,0.0941339098036177
"75","Peters_Duiker","Cephalophus callipygus","Cephalophus_callipygus","Bovidae","Ruminant","Donella pruniformis","Donella_pruniformis","Sapotaceae","","Fruit","Predation","Rumen","Makokou","0""34'N","12""552'E","16","Chrysophyllum","pruniforme","Antagonistic",0.665168724279835,0.0941339098036177
"76","Peters_Duiker","Cephalophus callipygus","Cephalophus_callipygus","Bovidae","Ruminant","Donella pruniformis","Donella_pruniformis","Sapotaceae","",NA,"Consumption","Rumen","Makokou","0""34'N","12""52'E","40","Chrysophyllum","pruniforme",NA,0.665168724279835,0.0941339098036177
"77","Peters_Duiker","Cephalophus callipygus","Cephalophus_callipygus","Bovidae","Ruminant","Cissus dinklagei","Cissus_dinklagei","Vitaceae","",NA,"Consumption","Rumen","Makokou","0""34'N","12""52'E","40","Cissus","dinklagei",NA,0.554,0.123401724247162
"78","Peters_Duiker","Cephalophus callipygus","Cephalophus_callipygus","Bovidae","Ruminant","Coelocaryon preussii","Coelocaryon_preussii","Myristicaceae","",NA,"Consumption","Rumen","Makokou","0""34'N","12""52'E","40","Coelocaryon","preussii",NA,0.49353216374269,0.0941339098036177
"79","Peters_Duiker","Cephalophus callipygus","Cephalophus_callipygus","Bovidae","Ruminant","Ctlindropsis parvifolia","Cylindropsis_parvifolia","Apocynaceae","",NA,"Consumption","Rumen","Makokou","0""34'N","12""52'E","40","Cylindropsis","parvifolia",NA,0.592856179202742,0.123401724247162
"80","Peters_Duiker","Cephalophus callipygus","Cephalophus_callipygus","Bovidae","Ruminant","Detarium macrocarpum","Detarium_macrocarpum","Fabaceae","","Fruit","Consumption","Rumen","Makokou","0""34'N","12""552'E","16","Detarium","macrocarpum","Mutualistic",0.7,0.0941339098036177
"81","Peters_Duiker","Cephalophus callipygus","Cephalophus_callipygus","Bovidae","Ruminant","Duboscia macrocarpa","Duboscia_macrocarpa","Malvaceae","",NA,"Consumption","Rumen","Makokou","0""34'N","12""52'E","40","Duboscia","macrocarpa",NA,0.48873153604215,0.123401724247162
"82","Peters_Duiker","Cephalophus callipygus","Cephalophus_callipygus","Bovidae","Ruminant","Ficus lingua","Ficus_lingua","Moraceae","",NA,"Consumption","Rumen","Makokou","0""34'N","12""52'E","40","Ficus","lingua",NA,0.405534661835749,0.0941339098036177
"83","Peters_Duiker","Cephalophus callipygus","Cephalophus_callipygus","Bovidae","Ruminant","Polyalthia suaveolens","Greenwayodendron_suaveolens","Annonaceae","",NA,"Consumption","Rumen","Makokou","0""34'N","12""52'E","40","Greenwayodendron","suaveolens",NA,0.565580530764063,0.123401724247162
"84","Peters_Duiker","Cephalophus callipygus","Cephalophus_callipygus","Bovidae","Ruminant","Hugonia planchonii","Hugonia_planchonii","Linaceae","","Fruit","Dispersal","Rumen","Makokou","0""34'N","12""552'E","16","Hugonia","planchonii","Mutualistic",0.84775,0.123401724247162
"85","Peters_Duiker","Cephalophus callipygus","Cephalophus_callipygus","Bovidae","Ruminant","Hugonia platysepala","Hugonia_platysepala","Linaceae","","Fruit","Dispersal","Rumen","Makokou","0""34'N","12""552'E","16","Hugonia","platysepala","Mutualistic",0.84775,0.123401724247162
"86","Peters_Duiker","Cephalophus callipygus","Cephalophus_callipygus","Bovidae","Ruminant","Hugonia platysepala","Hugonia_platysepala","Linaceae","",NA,"Consumption","Rumen","Makokou","0""34'N","12""52'E","40","Hugonia","platysepala",NA,0.84775,0.123401724247162
"87","Peters_Duiker","Cephalophus callipygus","Cephalophus_callipygus","Bovidae","Ruminant","Hugonia spicata","Hugonia_spicata","Linaceae","","Fruit","Dispersal","Rumen","Makokou","0""34'N","12""552'E","16","Hugonia","spicata","Mutualistic",0.84775,0.123401724247162
"88","Peters_Duiker","Cephalophus callipygus","Cephalophus_callipygus","Bovidae","Ruminant","Hugonia spicata","Hugonia_spicata","Linaceae","",NA,"Consumption","Rumen","Makokou","0""34'N","12""52'E","40","Hugonia","spicata",NA,0.84775,0.123401724247162
"89","Peters_Duiker","Cephalophus callipygus","Cephalophus_callipygus","Bovidae","Ruminant","Irvingia gabonensis","Irvingia_gabonensis","Irvingiaceae","","Fruit","Dispersal","Rumen","Makokou","0""34'N","12""552'E","16","Irvingia","gabonensis","Mutualistic",0.819569444444444,0.0941339098036177
"90","Peters_Duiker","Cephalophus callipygus","Cephalophus_callipygus","Bovidae","Ruminant","Irvingia grandifolia","Irvingia_grandifolia","Irvingiaceae","",NA,"Consumption","Rumen","Makokou","0""34'N","12""52'E","40","Irvingia","grandifolia",NA,0.819569444444444,0.0941339098036177
