"Plant_Species_Corrected","Plant_Genus","Plant_Species_Generic","Plant_Family_Generic"
"Diospyros_dendo","Diospyros","Plant_245","Family_35"
"Diospyros_gabunensis","Diospyros","Plant_246","Family_35"
"Diospyros_gracilescens","Diospyros","Plant_247","Family_35"
"Diospyros_grandifolia","Diospyros","Plant_248","Family_35"
"Diospyros_heudelotii","Diospyros","Plant_249","Family_35"
"Diospyros_hoyleana","Diospyros","Plant_250","Family_35"
"Diospyros_iturensis","Diospyros","Plant_251","Family_35"
"Diospyros_kirkii","Diospyros","Plant_252","Family_35"
"Diospyros_loureiroana","Diospyros","Plant_253","Family_35"
"Diospyros_mannii","Diospyros","Plant_254","Family_35"
"Diospyros_melocarpa","Diospyros","Plant_255","Family_35"
"Diospyros_mespiliformis","Diospyros","Plant_256","Family_35"
"Diospyros_monbuttensis","Diospyros","Plant_257","Family_35"
"Diospyros_piscatoria","Diospyros","Plant_258","Family_35"
"Diospyros_polystemon","Diospyros","Plant_259","Family_35"
"Diospyros_preussii","Diospyros","Plant_260","Family_35"
"Diospyros_pseudomespilus","Diospyros","Plant_261","Family_35"
"Diospyros_sanza-minika","Diospyros","Plant_262","Family_35"
"Diospyros_soubreana","Diospyros","Plant_263","Family_35"
"Diospyros_soyauxii","Diospyros","Plant_264","Family_35"
"Diospyros_suaveolens","Diospyros","Plant_265","Family_35"
"Diospyros_viridicans","Diospyros","Plant_266","Family_35"
"Diospyros_zenkeri","Diospyros","Plant_267","Family_35"
"Erythroxylum_emarginatum","Erythroxylum","Plant_268","Family_36"
"Erythroxylum_mannii","Erythroxylum","Plant_269","Family_36"
"Acalypha_fruticosa","Acalypha","Plant_270","Family_37"
"Alchornea_cordifolia","Alchornea","Plant_271","Family_37"
"Alchornea_floribunda","Alchornea","Plant_272","Family_37"
"Alchornea_hirtella","Alchornea","Plant_273","Family_37"
"Anthostema_aubryanum","Anthostema","Plant_274","Family_37"
"Caperonia_stuhlmannii","Caperonia","Plant_275","Family_37"
"Croton_dichogamus","Croton","Plant_276","Family_37"
"Croton_haumanianus","Croton","Plant_277","Family_37"
"Croton_macrostachyus","Croton","Plant_278","Family_37"
"Croton_mayumbensis","Croton","Plant_279","Family_37"
"Croton_megalocarpus","Croton","Plant_280","Family_37"
"Croton_oligandrus","Croton","Plant_281","Family_37"
"Croton_sylvaticus","Croton","Plant_282","Family_37"
"Dichostemma_glaucescens","Dichostemma","Plant_283","Family_37"
"Discoglypremna_caloneura","Discoglypremna","Plant_284","Family_37"
"Euphorbia_hirta","Euphorbia","Plant_285","Family_37"
"Euphorbia_systyloides","Euphorbia","Plant_286","Family_37"
"Grossera_multinervis","Grossera","Plant_287","Family_37"
"Klaineanthus_gaboniae","Klaineanthus","Plant_288","Family_37"
"Macaranga_assas","Macaranga","Plant_289","Family_37"
"Macaranga_barteri","Macaranga","Plant_290","Family_37"
"Macaranga_capensis","Macaranga","Plant_291","Family_37"
"Macaranga_monandra","Macaranga","Plant_292","Family_37"
"Macaranga_saccifera","Macaranga","Plant_293","Family_37"
"Macaranga_schweinfurthii","Macaranga","Plant_294","Family_37"
"Macaranga_spinosa","Macaranga","Plant_295","Family_37"
"Mallotus_oppositifolius","Mallotus","Plant_296","Family_37"
