"Plant_Species_Corrected","Plant_Genus","Plant_Species_Generic","Plant_Family_Generic"
"Manilkara_fouilloyana","Manilkara","Plant_898","Family_84"
"Manilkara_mabokeensis","Manilkara","Plant_899","Family_84"
"Manilkara_malcoleus","Manilkara","Plant_900","Family_84"
"Manilkara_mochisia","Manilkara","Plant_901","Family_84"
"Manilkara_obovata","Manilkara","Plant_902","Family_84"
"Manilkara_yangambiensis","Manilkara","Plant_903","Family_84"
"Manilkara_zapota","Manilkara","Plant_904","Family_84"
"Mimusops_andongensis","Mimusops","Plant_905","Family_84"
"Mimusops_bagshawei","Mimusops","Plant_906","Family_84"
"Mimusops_kummel","Mimusops","Plant_907","Family_84"
"Omphalocarpum_ahia","Omphalocarpum","Plant_908","Family_84"
"Omphalocarpum_elatum","Omphalocarpum","Plant_909","Family_84"
"Omphalocarpum_lecomteanum","Omphalocarpum","Plant_910","Family_84"
"Omphalocarpum_mortehanii","Omphalocarpum","Plant_911","Family_84"
"Omphalocarpum_procerum","Omphalocarpum","Plant_912","Family_84"
"Pouteria_adolfi-frederici","Pouteria","Plant_913","Family_84"
"Pouteria_alnifolia","Pouteria","Plant_914","Family_84"
"Pouteria_altissima","Pouteria","Plant_915","Family_84"
"Pouteria_aningeri","Pouteria","Plant_916","Family_84"
"Synsepalum_afzelii","Synsepalum","Plant_917","Family_84"
"Synsepalum_brevipes","Synsepalum","Plant_918","Family_84"
"Synsepalum_cerasiferum","Synsepalum","Plant_919","Family_84"
"Synsepalum_dulcificum","Synsepalum","Plant_920","Family_84"
"Synsepalum_msolo","Synsepalum","Plant_921","Family_84"
"Synsepalum_stipulatum","Synsepalum","Plant_922","Family_84"
"Tieghemella_africana","Tieghemella","Plant_923","Family_84"
"Tieghemella_heckelii","Tieghemella","Plant_924","Family_84"
"Vitellaria_paradoxa","Vitellaria","Plant_925","Family_84"
"Zeyherella_longepedicellata","Zeyherella","Plant_926","Family_84"
"Gymnostemon_zaizou","Gymnostemon","Plant_927","Family_85"
"Pierreodendron_kerstingii","Pierreodendron","Plant_928","Family_85"
"Quassia_gabonensis","Quassia","Plant_929","Family_85"
"Ficalhoa_laurifolia","Ficalhoa","Plant_930","Family_86"
"Solanum_etuberosum","Solanum","Plant_931","Family_87"
"Solanum_incanum","Solanum","Plant_932","Family_87"
"Solanum_mauritianum","Solanum","Plant_933","Family_87"
"Solanum_terminale","Solanum","Plant_934","Family_87"
"Nuxia_congesta","Nuxia","Plant_935","Family_88"
"Chaetachme_aristata","Chaetachme","Plant_936","Family_89"
"Musanga_cecropioides","Musanga","Plant_937","Family_90"
"Musanga_leo-errerae","Musanga","Plant_938","Family_90"
"Myrianthus_arboreus","Myrianthus","Plant_939","Family_90"
"Myrianthus_holstii","Myrianthus","Plant_940","Family_90"
"Myrianthus_libericus","Myrianthus","Plant_941","Family_90"
"Myrianthus_preussi","Myrianthus","Plant_942","Family_90"
"Urera_hypselodendron","Urera","Plant_943","Family_90"
"Lantana_radula","Lantana","Plant_944","Family_91"
"Rinorea_oblongifolia","Rinorea","Plant_945","Family_92"
"Cissus_cornifolia","Cissus","Plant_946","Family_93"
"Cissus_dinklagei","Cissus","Plant_947","Family_93"
"Cissus_populnea","Cissus","Plant_948","Family_93"
"Cissus_verticillata","Cissus","Plant_949","Family_93"
"Cyphostemma_adenocaule","Cyphostemma","Plant_950","Family_93"
"Cyphostemma_gigantophyllum","Cyphostemma","Plant_951","Family_93"
"Leea_guineensis","Leea","Plant_952","Family_93"
"Aframomum_angustifolium","Aframomum","Plant_953","Family_94"
"Aframomum_exscapum","Aframomum","Plant_954","Family_94"
"Siphonochilus_kirkii","Siphonochilus","Plant_955","Family_94"
"Balanites_aegyptiaca","Balanites","Plant_956","Family_95"
"Balanites_wilsoniana","Balanites","Plant_957","Family_95"
