"","Species","Genus","Family","Body_Mass","Generation_Length","IUCN_Status","Habitat","Taxa"
"136","Hylopsar_cupreocauda","Hylopsar","Sturnidae",60,3.8,"NT","Forest","Small_birds"
"137","Hylopsar_purpureiceps","Hylopsar","Sturnidae",75,4.1,"LC","Forest","Small_birds"
"138","Hypergerus_atriceps","Hypergerus","Cisticolidae",30,4.3,"LC","Mixed","Small_birds"
"139","Hypsignathus_monstrosus","Hypsignathus","Pteropodidae",330,6.527379836,"LC","Forest","Bats"
"140","Iduna_pallida","Iduna","Acrocephalidae",9,4,"LC","Mixed","Small_birds"
"141","Ixonotus_guttatus","Ixonotus","Pycnonotidae",38,3.5,"LC","Mixed","Small_birds"
"142","Lamprotornis_splendidus","Lamprotornis","Sturnidae",130,4.1,"LC","Mixed","Large_birds"
"143","Lophocebus_albigena","Lophocebus","Cercopithecidae",7096,10,"VU","Forest","Monkeys"
"144","Lophocebus_aterrimus","Lophocebus","Cercopithecidae",5800,10,"VU","Forest","Monkeys"
"145","Lophocebus_albigena","Lophocebus","Cercopithecidae",6000,10,NA,"Forest","Monkeys"
"146","Lophoceros_alboterminatus","Lophoceros","Bucerotidae",250,9.7,"LC","Forest","Large_birds"
"147","Lophoceros_fasciatus","Lophoceros","Bucerotidae",250,9.8,"LC","Forest","Large_birds"
"148","Lophoceros_semifasciatus","Lophoceros","Bucerotidae",250,9.8,"LC","Forest","Large_birds"
"149","Loxodonta_cyclotis","Loxodonta","Elephantidae",2575000,31,"CR","Mixed","Elephant"
"150","Lybius_bidentatus","Lybius","Lybiidae",80,8.5,"LC","Mixed","Small_birds"
"151","Lybius_guifsobalito","Lybius","Lybiidae",50,8.5,"LC","Mixed","Small_birds"
"152","Lybius_vieilloti","Lybius","Lybiidae",40,8.5,"LC","Mixed","Small_birds"
"153","Malacomys_longipes","Malacomys","Muridae",70,1.5,"LC","Mixed","Rodents"
"154","Malimbus_cassini","Malimbus","Ploceidae",35,3.6,"LC","Mixed","Small_birds"
"155","Malimbus_erythrogaster","Malimbus","Ploceidae",45,3.6,"LC","Forest","Small_birds"
"156","Malimbus_rubricollis","Malimbus","Ploceidae",47,3.6,"LC","Forest","Small_birds"
"157","Mandrillus_leucophaeus","Mandrillus","Cercopithecidae",17000,10,"EN","Mixed","Monkeys"
"158","Mandrillus_leucophaeus","Mandrillus","Cercopithecidae",17000,10,NA,"Mixed","Monkeys"
"159","Mandrillus_sphinx","Mandrillus","Cercopithecidae",17422,8,"VU","Forest","Monkeys"
"160","Melaniparus_albiventris","Melaniparus","Paridae",21,4.2,"LC","Mixed","Small_birds"
"161","Melaniparus_funereus","Melaniparus","Paridae",25,4.2,"LC","Forest","Small_birds"
"162","Micropteropus_pusillus","Micropteropus","Pteropodidae",30,4.316085758,"LC","Mixed","Bats"
"163","Miopithecus_ogouensis","Miopithecus","Cercopithecidae",2000,8,"NT","Forest","Monkeys"
"164","Musophaga_rossae","Musophaga","Musophagidae",375,3.3,"LC","Mixed","Large_birds"
"165","Musophaga_violacea","Musophaga","Musophagidae",360,3.3,"LC","Mixed","Large_birds"
"166","Myonycteris_angolensis","Myonycteris","Pteropodidae",75,4.26,"LC","Mixed","Bats"
"167","Myonycteris_leptodon","Myonycteris","Pteropodidae",30,4.26,"LC","Forest","Bats"
"168","Myonycteris_torquata","Myonycteris","Pteropodidae",30,4.316085758,"LC","Forest","Bats"
"169","Myosciurus_pumilio","Myosciurus","Sciuridae",50,3,"LC","Forest","Rodents"
"170","Nandinia_binotata","Nandinia","Nandiniidae",2950,4,"LC","Mixed","Carnivore"
"171","Nanonycteris_veldkampi","Nanonycteris","Pteropodidae",21,4.25,"LC","Mixed","Bats"
"172","Nectarinia_cyanolaema","Nectarinia","Nectariniidae",15,3.6,"LC","Mixed","Small_birds"
"173","Nectarinia_olivacea","Nectarinia","Nectariniidae",10,3.6,"LC","Mixed","Small_birds"
"174","Nigrita_bicolor","Nigrita","Estrildidae",10,3,"LC","Mixed","Small_birds"
